Contact name,Email,Phone,Lead source,Stage,Property interest,Budget (CAD),Last contact (YYYY-MM-DD),Next action,Next action date (YYYY-MM-DD),Consent to email (Y/N),Consent date (YYYY-MM-DD),Notes
Sample — Dana Whitfield,dana.sample@example.com,(780) 555-0142,Open house,Contacted,"Bungalow, Glenora",650000,2026-09-18,Send three comparable listings,2026-09-26,Y,2026-09-18,Prefers evening calls. Pre-approval in progress.
Sample — Marc Tremblay,marc.sample@example.com,(514) 555-0188,Referral,Viewing booked,"Condo, Plateau",480000,2026-09-21,Confirm Saturday showing,2026-09-24,Y,2026-09-21,Corresponds in French.
Sample — Priya Anand,priya.sample@example.com,(604) 555-0119,Website form,New,"Townhouse, Burnaby",900000,2026-09-22,Introductory call,2026-09-25,N,,No consent recorded yet — do not add to any email campaign.
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
